horizon,symbol,entry_time,exit_time,entry_price,target,initial_sl,exit_price,qty,outcome,pnl,r_multiple,p_entry,kelly_f,atr,features_json,pnl_net,r_net
short_term,SBIN,2024-06-03T09:45:00+05:30,2024-06-03T10:16:00+05:30,867.65,889.8979770571128,856.5260114714436,889.8979770571128,1123.0,PROFIT,24984.47823513773,2.0,0.804049674329758,0.05,7.4159923523709645,"{""structure"": 0.9831623818415755, ""value"": 0.9672625308686769, ""vol_anom"": 0.9661894036212391, ""mom_t"": 0.4861783491372664, ""vratio"": -0.5101328926735165, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.641548820085505, ""accel"": 0.32194163582864765}",23035.736335137728,1.8440037945431795
short_term,ICICIBANK,2024-06-03T09:45:00+05:30,2024-06-03T12:45:00+05:30,1136.75,1164.5362190103144,1122.856890494843,1149.7224087457023,899.0,TRAILED,11662.195462386364,0.9337296838326193,0.7224652373599739,0.05,9.26207300343814,"{""structure"": 0.7000756598948074, ""value"": 0.2620827447399269, ""vol_anom"": 0.8511211357634252, ""mom_t"": 0.5215723050364601, ""vratio"": 0.024683356550342817, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.04727091921877333, ""accel"": -0.11407462536821796}",9618.318962386364,0.770087412161466
short_term,RELIANCE,2024-06-03T11:15:00+05:30,2024-06-04T09:15:00+05:30,1489.95,1522.363279461985,1473.7433602690076,1498.05,771.0,TRAILED,6245.099999999929,0.4997951539892635,0.7308643277223722,0.05,10.80442648732835,"{""structure"": 0.9938772379166054, ""value"": 0.8234193794800094, ""vol_anom"": -0.22984841788313576, ""mom_t"": 0.6562889590687991, ""vratio"": 0.058648761733548035, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.7407906386134678, ""accel"": 0.555536519743151}",3947.5970999999295,0.31592607011610013
short_term,HDFCBANK,2024-06-03T09:45:00+05:30,2024-06-04T09:15:00+05:30,782.5,800.2289402706048,773.6355298646976,773.6355298646976,1410.0,LOSS,-12498.90289077644,-1.0,0.7722050540924356,0.05,5.909646756868271,"{""structure"": 0.9997358679396439, ""value"": 0.939040489601725, ""vol_anom"": 0.8313482620163514, ""mom_t"": 0.5028792023453033, ""vratio"": -0.2710134649183101, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.5254532277289536, ""accel"": 0.19385261777213977}",-14705.55289077644,-1.1765474953508437
short_term,SBIN,2024-06-03T12:16:00+05:30,2024-06-04T09:15:00+05:30,899.45,924.9381423464735,886.7059288267633,886.7059288267633,980.0,LOSS,-12489.189749772027,-1.0,0.8358583083969515,0.05,8.496047448824473,"{""structure"": 0.9994752001058363, ""value"": 0.9988844348148781, ""vol_anom"": 0.059146030304284496, ""mom_t"": 0.7089310225197241, ""vratio"": 0.1927317861525812, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.7578836690230496, ""accel"": 0.33990756487445895}",-14252.111749772028,-1.1411558343912727
swing,SBIN,2024-06-04T09:15:00+05:30,2024-06-04T09:16:00+05:30,905.65,992.9982530493484,861.9758734753258,861.9758734753258,228.0,LOSS,-9957.700847625716,-1.0,0.8474737194454137,0.05,21.837063262337104,"{""structure"": 0.9999996443205595, ""value"": 0.9976520278700224, ""vol_anom"": 0.9197657969402515, ""mom_t"": 0.5418856804550138, ""vratio"": -0.07111694631336787, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.7467484358710079, ""accel"": 0.2556134437535126}",-10370.677247625716,-1.0414730675604167
short_term,ICICIBANK,2024-06-03T14:45:00+05:30,2024-06-04T09:27:00+05:30,1151.7,1177.8397567176469,1138.6301216411766,1138.6301216411766,956.0,LOSS,-12494.803711035187,-1.0,0.688425984817479,0.05,8.713252239215581,"{""structure"": 0.8887753942295676, ""value"": 0.7448025530208787, ""vol_anom"": -0.2359085111444566, ""mom_t"": 0.6609897135910724, ""vratio"": 0.2236561189924289, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.41381870261948794, ""accel"": -0.3268461948945869}",-14696.854111035187,-1.1762372943926434
short_term,RELIANCE,2024-06-07T15:15:00+05:30,2024-06-10T09:36:00+05:30,1470.95,1502.158751417303,1455.3456242913487,1480.3463535761236,801.0,TRAILED,7526.4792144750045,0.6021614546818495,0.7301078133337404,0.05,10.402917139100927,"{""structure"": 0.9706131041113163, ""value"": 0.0823221839543331, ""vol_anom"": 0.7767458765028247, ""mom_t"": 0.7310620640808286, ""vratio"": -0.03409913946314861, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.41263986151124715, ""accel"": 0.12971050314756424}",5170.017314475004,0.4136310030362279
short_term,TCS,2024-06-07T09:45:00+05:30,2024-06-12T15:01:00+05:30,3874.7,3952.9415154234894,3835.579242288255,3835.579242288255,319.0,LOSS,-12479.521710046582,-1.0,0.7782185663069215,0.05,26.080505141163215,"{""structure"": 0.997160751676064, ""value"": 0.7031466482229354, ""vol_anom"": 0.5986711143130331, ""mom_t"": 0.7295013047375968, ""vratio"": -0.23619284815429598, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.6570453914930314, ""accel"": 0.3954960733215709}",-14951.580310046582,-1.1980892102627523
short_term,RELIANCE,2024-06-28T09:45:00+05:30,2024-06-28T15:01:00+05:30,1551.5,1583.3653137583615,1535.5673431208193,1567.722785934016,784.0,TRAILED,12718.664172268524,1.0182097095942828,0.7773230242958025,0.05,10.621771252787182,"{""structure"": 0.9993184823829843, ""value"": 0.9960877658863988, ""vol_anom"": 0.8274037094509291, ""mom_t"": 0.6676140868875226, ""vratio"": -0.0480792013838803, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.6582044434731056, ""accel"": -0.22912368989843668}",10285.912172268523,0.8234524871466757
